id,comment,label,comment_normalize
train_000000,"Dung dc sp tot cam on 
shop Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời",0,dung sản_phẩm cam on cửa_hàng đóng_gói sản_phẩm đẹp chất_lượng sản_phẩm tuyệt_vời
train_000001, Chất lượng sản phẩm tuyệt vời . Son mịn nhưng khi đánh lên không như màu trên ảnh,0,chất_lượng sản_phẩm tuyệt_vời son mịn đánh màu ảnh
train_000002, Chất lượng sản phẩm tuyệt vời nhưng k có hộp k có dây giày đen k có tất,0,chất_lượng sản_phẩm tuyệt_vời hộp dây giày đen tất
train_000003,:(( Mình hơi thất vọng 1 chút vì mình đã kỳ vọng cuốn sách khá nhiều hi vọng nó sẽ nói về việc học tập của cách sinh viên trường Harvard ra sao những nỗ lực của họ như thế nào 4h sáng? tại sao họ lại phải thức dậy vào thời khắc đấy? sau đó là cả một câu chuyện ra sao. Cái mình thực sự cần ở đây là câu chuyện ẩn dấu trong đó để tự bản thân mỗi người cảm nhận và đi sâu vào lòng người hơn. Còn cuốn sách này chỉ đơn thuần là cuốn sách dạy kĩ năng mà hầu như sách nào cũng đã có. BUồn...,1,nagative hơi thất_vọng 1 chút kỳ_vọng sách hi_vọng học_tập sinh_viên trường harvard nỗ_lực 4h thức dậy thời_khắc đấy câu_chuyện câu_chuyện ẩn dấu cảm_nhận đi_sâu sách đơn_thuần sách dạy kĩ_năng hầu_như sách buồn
train_000004,Lần trước mình mua áo gió màu hồng rất ok mà đợt này lại giao 2 cái áo gió chất khác như vải mưa ý :((,1,mua áo_gió màu hồng o đợt giao 2 áo_gió chất vải mưa nagative
train_000005, Chất lượng sản phẩm tuyệt vời có điều không cứng cáp với không cố định dáng nói chung đẹp hợp túi tiền,0,chất_lượng sản_phẩm tuyệt_vời cứng_cáp cố_định dáng đẹp hợp túi_tiền
train_000006,Đã nhận đc hàng rất nhanh mới đặt buổi tối mà trưa mai là có rồi =}} Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt,0,hàng tối trưa mai đóng_gói sản_phẩm đẹp cửa_hàng_phục_vụ
train_000007,"Các siêu phẩm thấy cấu hình toàn tựa tựa nhau. Ko còn sự đột phá lớn nữa. Chỉ là nâng cấp. Khác nhau về kiểu dáng. Htc này vs giá trên thật lòng khó cạnh tranh mạnh vs siêu phẩm khác, chỉ dành cho fan của họ thôi.",1,siêu phẩm cấu_hình toàn tựa tựa đột_phá nâng_cấp kiểu_dáng htc giá cạnh_tranh siêu phẩm fan
train_000008,Hàng ship nhanh  chất lượng tốt  tư vấn nhiệt tình ship rất đung size sẽ ủng hộ shop nhìu ❤️,0,hàng giao hàng chất_lượng tư_vấn nhiệt_tình giao hàng đung cỡ ủng_hộ cửa_hàng nhìu positive ️
train_000009,Đồng hồ đẹp nhưng 1 cái đứt dây  1 cái k chạy  mua ve phải sửa,1,đồng_hồ đẹp 1 đứt dây 1 chạy mua ve sửa
train_000010, Chất lượng sản phẩm tuyệt vời.y hình chụp.đáng tiền ,0,chất_lượng sản_phẩm tuyệt_vời y hình chụp tiền
train_000011,Hjhj shop giao hàng nhanh quá. Đẹp lắm ạ bé nhà m rất thích,0,positive cửa_hàng giao hàng đẹp lắm bé
train_000012,"""nhìn đẹp phết nhỉ..""",0,đẹp phết
train_000013,Đóng gói rất đẹp. Chất lượng sản phẩm rất tốt  Chất lượng sản phẩm tuyệt vời,0,đóng_gói đẹp chất_lượng sản_phẩm chất_lượng sản_phẩm tuyệt_vời
train_000014,Săn đc với giá 11k. Toẹt vời,0,săn giá 11k vời
train_000015,OK rất hài lòng,0,o hài_lòng
train_000016,Giao thiếu mình cái này rồi shop ơi T^T,1,giao cửa_hàng t_t
train_000017,Chất lượng sản phẩm tuyệt vời tôi rất thích,0,chất_lượng sản_phẩm tuyệt_vời
train_000018,Giày đẹp lắm có điều dây hơi ngắn tí ạ  Chất lượng sản phẩm tuyệt vời,0,giày đẹp lắm dây hơi ngắn tí chất_lượng sản_phẩm tuyệt_vời
train_000019,Yếm vải đẹp nhưng ít mẫu đẹp,0,yếm vải đẹp mẫu đẹp
train_000020, Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Rất đáng tiền. Giao hàng hôm sau là có,0,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp cửa_hàng_phục_vụ tiền tiền giao hàng hôm
train_000021,không hài lòng sản phẩm cho lắm. giặt lan đầu tiên da nhoe màu hết rồi.,1,hài_lòng sản_phẩm lắm giặt lan da nhoe màu
train_000022,"Giao hàng nhanh, mặc đẹp
Cám ơn shop",0,giao hàng mặc đẹp cám_ơn cửa_hàng
train_000023, Chất lượng sản phẩm tuyệt vời bao bì cute phô mai que son đánh mịn cực không có bị bột à còn giao hành max nhanh luôn,0,chất_lượng sản_phẩm tuyệt_vời bao_bì dễ_thương phô_mai que son đánh mịn cực bột giao hành max
train_000024,Đồng hồ thì đẹp thật. Nhưng tại sao kim lúc chạy lúc đứng. Nhắn tin thì ko trả lời. Mấy bạn lưu ý đừng mua nữa. ,1,đồng_hồ đẹp kim chạy đứng nhắn_tin trả_lời mấy lưu_ý đừng mua
train_000025,"Giao hàng siêu nhanh.
Đóng gói cẩn thận và tư vấn nhiệt tình.
Hạt điều thấm vị và giòn. ",0,giao hàng siêu đóng_gói cẩn_thận tư_vấn nhiệt_tình hạt thấm vị giòn
train_000026,"""Cũng hơi bất tiện xu thế này e rằng đa phằn người dùng sẽ không ưa thích""",1,hơi bất_tiện xu_thế e đa phằn ưa_thích
train_000027,Toàn hàng trungkhi mua quên ko coi kĩ,1,toàn hàng trungkhi mua quên coi kĩ
train_000028, Đóng gói sản phẩm rất đẹp và chắc chắn. Được shop tặng thêm quà nữa 😘,0,đóng_gói sản_phẩm đẹp cửa_hàng tặng quà positive
train_000029,"Hôm nay chiên thử cá hồi, cá chiên ăn ngọt hơn chiên kiểu truyền thống vì giữ đc nước 
 Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn",0,hôm_nay chiên thử cá_hồi cá_chiên chiên kiểu truyền_thống chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp
train_000030,"""máy này có cái CPU k phải skylake là thấy không hay rồi""",1,máy cpu skylake
train_000031,Hàng vận chuyển bị nứt mẻ 1 góc.chất lượng ok.,0,hàng vận_chuyển nứt mẻ 1 góc chất_lượng ok
train_000032,Sạc tự động ngắt pin,0,sạc tự_động ngắt pin
train_000033,Shop giao hàng kh giống màu,1,cửa_hàng giao hàng màu
